,Id,Text,IsSelfMentioned,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderAccountYears,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,Emojis,Punctuations,UpperCaseLetter,Letter,Symbols,Words,TWords,UWords,SlangWords,IsCyberbullying
0,1.1238505143562322e+18,bir adam yanında çocuklaşan kadını fazladan sevmeli çünkü bu yalnızken hep güçlü göründüm izninle huzur bulduğum yerde biraz şımarmak istiyorum deme şeklidir perşembe,0.0,59.0,1045,1,0,0,1935601099,0,0,0,0.0,0,0.0,9,5,144,0,23,5,0,0,False
1,1.1619625109180457e+18,mağlup mu desem mahcup mu ama ikisi de değil ben garip sen güzel dünya umutlu öyle bir tuhafım bu akşamüstü sevgilim canavar götünü gibi iki yanım iki süngü ahmed arif perşembe,0.0,3.0,157,1,0,0,1935601099,0,0,0,0.0,0,0.0,8,8,147,0,31,8,0,1,False
2,1.162604714976002e+18,günaydın iyi pazarlar allah acil şifalar versin inşallah daha da iyi olacak,0.0,1.0,3,0,0,11,927613872390975488,0,0,0,0.0,0,3.0,0,2,64,2,12,2,0,0,False
3,1.163015921205764e+18,ve ahmet arif leyla sına seslenir sevdiğim çaresizliğimden gayrı hiçbir kabahatim yok benim aşına ekmeğine kahrına karanlığına özlemine umuduna kat beni pazar hayalettimde,0.0,13.0,220,2,0,0,1935601099,0,0,0,0.0,0,0.0,19,16,150,0,23,14,0,0,False
4,1.1577278955629855e+18,arkadaki sanal gerzek oyunun oynuyor,0.0,950.0,12104,0,1,0,4495931,12,22554,32766,60281.0,25482,0.0,0,1,35,0,5,1,0,1,False
5,1.1583894996568433e+18,ikea dolap montajında zorlanacağına eminim,0.0,132.10448963156836,0,0,0,1,3696241,12,1047,457,334.0,1853,0.0,1,1,38,0,5,1,0,0,False
6,1.1583825969900913e+18,marmaris te yüksek ses ve gürültüye 637 bin lira ceza,0.0,3.0,31,0,1,0,15016209,11,0,39,7131754.0,221392,0.0,1,1,44,0,10,1,0,0,False
7,1.1584363363171533e+18,mercedes in takım patronu olsaydınız lewis hamilton ın takım arkadaşı olarak kim tercih ederdiniz,0.0,1.0,13,0,0,0,16310319,11,3651,148,18548.0,68489,2.0,4,3,84,0,14,3,0,0,False
8,1.1586839485176136e+18,bu çocuğu hala nasıl takip edebiliyorsunuz ya gösteriş budala resmenn,0.0,132.10448963156836,0,0,0,1,15883237,11,14343,898,1985.0,2389,0.0,0,0,67,0,10,0,0,1,True
9,1.1626276227081912e+18,pudingin soğumuş pürüzsüz yüzeyini öpmek zevk alınan ufak sapık,0.0,3.0,39,0,0,0,16626956,11,10,5,2653596.0,16833,0.0,3,0,61,1,9,0,0,1,False
10,1292782403.0,galatasaray spor kulübü hakkındaki son gelişme ve haberleri bulabileceğiniz twitter sayfasi gün itibari ile açılmıştır,0.0,678.0,1761,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,1,4,104,0,15,4,0,0,False
11,22888045074.0,kevin durant umraniye de kaybolmus allah rizasi icin goren yolu tarif etsin meydan da nike magazasindayiz,0.0,10464.0,19727,0,0,0,33536404,10,691,738,273849.0,7923,0.0,5,6,90,0,16,6,0,0,False
12,26640149355.0,avrupa şampiyonası heyecanı devam ediyor çek cumhuriyeti iskoçya 1 1 65 x 3 20 2 3 60 hemen iddaa oynamak için,0.0,1.0,0,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,10,8,90,0,21,8,1,0,False
13,2.5485244350070784e+16,zorunlu açiklama alex de souza ile herhangi bir temasımız olmamış gündemimizde de bu oyuncu ile ilgili bir düşüncemiz de bulunmamaktadır,0.0,303.0,386,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,2,18,117,0,20,5,2,0,False
14,7.302912267846451e+16,galatasaray 10 numara desenli nevresim takımı resimde solda için son 45 dakika,0.0,39.0,39,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,3,14,67,0,12,7,2,0,False
15,8.141897097610035e+16,atletico madrid kulubu ile diego forlan antonio reyes ve tomas ujfalusi nin takimimiza transferi konusunda gorusmeler baslamistir fb,0.0,1064.0,1692,1,0,0,23186079,10,67,71,8631496.0,72643,0.0,4,9,115,0,18,9,0,0,False
16,1.0794096822491546e+17,faik cetiner rahmi koc un ali koc a uyarisi var bu surecte gemiyi son terkeden ol ama asla baskan olma demis,0.0,34.0,53,0,0,0,71108476,10,2771,2835,1288628.0,339867,0.0,7,7,88,0,21,7,0,0,False
17,3.9641095736866406e+17,her kaybedişte yeniden başlarsın daha da güçlenerek başlarsın ve daha da hızlanarak dibe batarsın en dibe batarsın,0.0,3521.0,4170,0,0,0,76762055,10,8,73,471979.0,1238,0.0,4,0,98,0,17,0,0,0,False
18,4.687354877176914e+17,soma da akhisar köftecisi vedat ın yeri ve aydın lokantası misafirperverlikleri için sonsuz teşekkür,0.0,10.0,36,0,1,0,60668913,10,88,606,1214852.0,13221,0.0,4,3,87,0,14,3,0,0,False
19,5.052543616146637e+17,rostov td bozoviç güçlü bir takım değildi rakibimiz ancak gördük ki cardozo ve yeni transferlerle başka bir trabzonspor oluşturuldu,0.0,6.0,6,0,0,0,71108476,10,2771,2835,1288628.0,339867,0.0,2,7,113,0,19,6,1,0,False
20,5.652556936668897e+17,yatabare matabare sivasspor böyle koyar götebare,0.0,487.0,626,0,0,0,30567448,10,1272,28,8885.0,4574,0.0,0,2,43,0,6,2,0,0,True
21,5.706339704942346e+17,röportaj sırasında ezan okunması üzerine aziz yıldırım aziz allah,0.0,2921.0,5610,0,0,0,71108476,10,2771,2835,1288628.0,339867,0.0,6,5,57,0,9,5,0,0,False
22,6.025454920908759e+17,savunma çaresiz kaleci çaresiz herkes çaresiz wesley sahnede en iyi yaptığı işi yaptı tribünleri yıktı wesley sneijder,0.0,4814.0,7415,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,9,4,102,0,17,4,0,0,False
23,6.031664916981391e+17,sizin hayallerinizin bittiği yerde bizim gerzek başlar inanmayındemistik,0.0,5321.0,8329,1,1,0,23186079,0,67,71,8631496.0,72643,0.0,5,57,72,0,8,8,7,1,False
24,6.697820728699576e+17,önce yatırımını kendine yap ki diğerlerine de yardımın dokunsun oku akılderki,0.0,1.0,3,1,0,0,95956201,10,1476,9098,13448.0,18417,0.0,3,2,67,0,11,2,0,0,False
25,7.522202157951222e+17,real madrid 23 yaşındaki lucas silva nın kalbindeki sorunlar nedeniyle futbolu bıraktığını açıkladı,0.0,41.0,234,0,1,0,71108476,10,2771,2835,1288628.0,339867,0.0,3,4,87,0,13,4,0,0,False
26,7.645621765269135e+17,ortada bir kupa varsa sadece arkanıza yaslanın ve galatasaray ı izleyin,0.0,20530.0,27954,0,0,0,23186079,10,67,71,8631496.0,72643,0.0,3,2,61,0,11,2,0,0,False
27,8.257049706076119e+17,bir milan terim hikayesi san siro baresi maldini beyefendiler masası mauro suma curva sud fatih terim,0.0,13.0,62,0,0,0,60334462,10,209,443,105673.0,39435,0.0,7,15,86,0,16,15,0,0,False
28,9.055320214302597e+17,dindar olduğu için artık ahlaka ihtiyacı kalmadığını düşünenlerin ve rakı içtiği için kendini aydın sananların arasında delirmek üzereyiz,0.0,29086.0,94126,0,0,0,69167515,10,5487,206,193029.0,8095,0.0,3,0,120,0,18,0,0,0,False
29,9.217487081354895e+17,18 istemsiz bir hamilelikte verdiğimiz kararlar başkaları tarafından yargılanma riski taşır,0.0,5.0,26,0,0,0,68723264,10,6747,291,2181.0,15413,0.0,2,1,81,0,11,1,0,0,False
30,9.217496479490089e+17,20 cinsiyetçilik hakkında konuştuğumuzda duyarcılıkla her şeyden şikayet etmekle suçlanırız,0.0,10.0,55,0,0,0,68723264,10,6747,291,2181.0,15413,0.0,4,1,82,0,10,1,0,0,False
31,9.250807453659832e+17,marius sumudica deplasmanda fenerbahçe ile 3 3 berabere kaldığımızda üzülmemizi mi bekliyordunuz anlamıyorum gol sevinci hakkında,0.0,13.0,88,0,0,0,71108476,10,2771,2835,1288628.0,339867,0.0,7,5,114,0,16,5,0,0,False
32,9.43942150462505e+17,beyler masa aynı yeni oturanı iyi bilirsiniz sıfır deste kartları yeniden karıyoruz bol şans hepinize çünkü ihtiyacınız olacak,0.0,3669.0,8739,0,0,0,60334462,10,209,443,105673.0,39435,0.0,13,3,109,0,18,3,0,0,False
